reaction_id,reaction_smiles
ord-6e62fa456f9543438c4d7ca789bf180e,CNC(=O)c1ccc(F)cc1N.Clc1cc(I)c(Cl)cn1>C1COCCO1.CC(=O)O.CC(=O)O.CC1(C)c2cccc(P(c3ccccc3)c3ccccc3)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21.O=C([O-])[O-].[Cs+].[Cs+].[Pd]>CNC(=O)c1ccc(F)cc1Nc1cc(Cl)ncc1Cl
ord-089e5915f1ae4e9e8fd817c5c0f3bd24,CC(=O)N1CC2CNCC(C1)O2.COc1ccc(Br)cc1[N+](=O)[O-]>C1COCCO1.CC(=O)O.CC(=O)O.CC(C)(C)[O-].CC1(C)c2cccc(P(c3ccccc3)c3ccccc3)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21.[Na+].[Pd]>COc1ccc(N2CC3CN(C(C)=O)CC(C2)O3)cc1[N+](=O)[O-]
ord-8fcffc24262340ad8745959198669390,CC(C)(C)OC(=O)N1CCNCC1.Clc1ccc(OCc2ccccc2)cn1>CC(C)(C)[O-].Cc1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.[Na+].[Pd].c1ccc(P(c2ccccc2)c2ccc3ccccc3c2-c2c(P(c3ccccc3)c3ccccc3)ccc3ccccc23)cc1>CC(C)(C)OC(=O)N1CCN(c2ccc(OCc3ccccc3)cn2)CC1
ord-8459652e6963448495d966b232514570,Brc1ccc(OCc2ccccc2)cc1.C[C@@H]1CN(C(=O)OC(C)(C)C)CCN1>C1CCOC1.CC(C)(C)P(C(C)(C)C)C(C)(C)C.CC(C)(C)P(C(C)(C)C)C(C)(C)C.CC(C)(C)P(C(C)(C)C)C(C)(C)C.CC(C)(C)[O-].[K+].[Pd]>C[C@@H]1CN(C(=O)OC(C)(C)C)CCN1c1ccc(OCc2ccccc2)cc1
ord-aba439bdbf614f12a2c2928a8b3049c5,Brc1ccc(OCc2ccccc2)cc1.C[C@@H]1CN(C(=O)OC(C)(C)C)CCN1>CC(=O)O.CC(=O)O.CC(C)(C)[O-].Cc1ccccc1.[Na+].[Pd].c1ccc(P(c2ccccc2)c2ccc3ccccc3c2-c2c(P(c3ccccc3)c3ccccc3)ccc3ccccc23)cc1>C[C@@H]1CN(C(=O)OC(C)(C)C)CCN1c1ccc(OCc2ccccc2)cc1
ord-8d2093b827454e2d9150258e88282b25,Brc1ccc(OCc2ccccc2)cc1.C[C@@H]1CN(C(=O)OC(C)(C)C)CCN1>CC(C)(C)[O-].CC1(C)c2cccc(P(c3ccccc3)c3ccccc3)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21.Cc1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.[Na+].[Pd].[Pd]>C[C@@H]1CN(C(=O)OC(C)(C)C)CCN1c1ccc(OCc2ccccc2)cc1
ord-2e557d69002c4320a9c5c7d56e530a90,C1CCNCC1.N#Cc1ccc(Br)cc1F>CC(=O)O.CC(=O)O.CC(C)(C)[O-].CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1.Cc1ccccc1.[Na+].[Pd]>N#Cc1ccc(N2CCCCC2)cc1F
ord-d5f70214ac20425bbba3af9e0d825482,C1COCCN1.Nc1cncc(Br)c1>C1COCCO1.CC(=O)O.CC(=O)O.CC1(C)c2cccc(P(c3ccccc3)c3ccccc3)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21.O=C([O-])[O-].[Cs+].[Cs+].[Pd]>Nc1cncc(N2CCOCC2)c1
ord-5ee406d12bbe4c6fbfb323cf21dcbb47,Brc1cccnc1.C1CNCCN1>CC(C)(C)P(C(C)(C)C)C(C)(C)C.CC(C)(C)[O-].Cc1ccc(C)cc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.[Na+].[Pd].[Pd]>c1cncc(N2CCNCC2)c1
ord-dc082fad710a4bd8bc62cdd0ba778e89,Brc1cccc(OCc2ccccc2)n1.C1COCCN1>CC(C)(C)[O-].Cc1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.[Na+].[Pd].[Pd].c1ccc(P(c2ccccc2)c2ccc3ccccc3c2-c2c(P(c3ccccc3)c3ccccc3)ccc3ccccc23)cc1>c1ccc(COc2cccc(N3CCOCC3)n2)cc1
ord-5086568c313949c09e3b4fd70cc4de5e,Clc1ccc(I)c(Cl)c1.OCC1CCNCC1>Cc1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C([O-])[O-].[Cs+].[Cs+].[Pd].[Pd].c1ccc(P(c2ccccc2)c2ccc3ccccc3c2-c2c(P(c3ccccc3)c3ccccc3)ccc3ccccc23)cc1>OCC1CCN(c2ccc(Cl)cc2Cl)CC1
ord-6eea29be7d4b47c5893b1e243ef41836,CN(C)CCN.Ic1ccccc1>CC1(C)c2cccc(P(c3ccccc3)c3ccccc3)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21.CN(C)C=O.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C([O-])[O-].[Cs+].[Cs+].[Pd].[Pd]>CN(C)CCNc1ccccc1
ord-3870c5bc1f6548e38bd05a0e29b91f59,CC(C)(C)OC(=O)NC1CNC1.COc1cc(Br)ccn1>CC(C)(C)[O-].Cc1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.[Na+].[Pd].[Pd].c1ccc(P(c2ccccc2)c2ccc3ccccc3c2-c2c(P(c3ccccc3)c3ccccc3)ccc3ccccc23)cc1>COc1cc(N2CC(NC(=O)OC(C)(C)C)C2)ccn1
ord-86cf849855f845f68ee2526bc9e21e63,CNC(=O)c1ccccc1N.Cc1nn(C)cc1Nc1cc(I)c(C(F)(F)F)cn1>C1COCCO1.CC(=O)O.CC(=O)O.CC1(C)c2cccc(P(c3ccccc3)c3ccccc3)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21.O=C([O-])[O-].[Cs+].[Cs+].[Pd]>CNC(=O)c1ccccc1Nc1cc(Nc2cn(C)nc2C)ncc1C(F)(F)F
ord-22901a6299a241baa726d8f567bd79ae,Clc1ccc(Br)c(Cl)n1.Nc1ccccc1>C1COCCO1.CC(C)(C)[O-].O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.[Na+].[Pd].[Pd].c1ccc(P(c2ccccc2)c2ccc3ccccc3c2-c2c(P(c3ccccc3)c3ccccc3)ccc3ccccc23)cc1>Clc1ccc(Nc2ccccc2)c(Cl)n1
ord-7c9ead47a3324fac997f2b8af6afca02,CC(C)(C)OC(N)=O.O=C(O)c1cc(Cl)nc(Cl)c1>C1COCCO1.CC1(C)c2cccc(P(c3ccccc3)c3ccccc3)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=P([O-])([O-])[O-].[K+].[K+].[K+].[Pd].[Pd]>CC(C)(C)OC(=O)Nc1cc(C(=O)O)cc(Cl)n1
ord-17f82e7aaf404cf69c8e741e1af8f96f,Clc1ccnc(Cl)c1.Cn1nccc1N>C1COCCO1.CC1(C)c2cccc(P(c3ccccc3)c3ccccc3)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C([O-])[O-].[Cs+].[Cs+].[Pd].[Pd]>Cn1nccc1Nc1cc(Cl)ccn1
ord-3c8e64b916074a0fa79f8b674402d3e9,Clc1ccnc(Cl)c1.Cn1nccc1N>C1COCCO1.CC(C)(C)[O-].CC1(C)c2cccc(P(c3ccccc3)c3ccccc3)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.[Na+].[Pd].[Pd]>Cn1nccc1Nc1cc(Cl)ccn1
ord-542a3d0745614bcba1a86db54a9cc72d,Clc1ccc(I)c(Cl)n1.Nc1ccccc1>CC(=O)O.CC(=O)O.Cc1ccccc1.O=C([O-])[O-].[Cs+].[Cs+].[Pd].c1ccc(P(c2ccccc2)c2ccc3ccccc3c2-c2c(P(c3ccccc3)c3ccccc3)ccc3ccccc23)cc1>Clc1ccc(Nc2ccccc2)c(Cl)n1
ord-fc9c1fb745cd41db91cc01d3444dd381,Clc1ccc(I)c(Cl)n1.Nc1ccccc1>C1COCCO1.CC(=O)O.CC(=O)O.O=C([O-])[O-].[K+].[K+].[Pd].c1ccc(-c2ccccc2P(C2CCCCC2)C2CCCCC2)cc1>Clc1ccc(Nc2ccccc2)c(Cl)n1
ord-91ba9c49c74648a386e9a8da907612ae,Clc1ccc(I)c(Cl)n1.Nc1ccccc1>C1COCCO1.CC(C)(C)[O-].O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.[Na+].[Pd].[Pd].c1ccc(P(c2ccccc2)c2ccc3ccccc3c2-c2c(P(c3ccccc3)c3ccccc3)ccc3ccccc23)cc1>Clc1ccc(Nc2ccccc2)c(Cl)n1
ord-2de77de369ef42f8b910f9e83130f454,CC(C)(C)OC(=O)NC1CCNCC1.COC(=O)c1cccc(Br)c1>CC(=O)O.CC(=O)O.Cc1ccccc1.O=C([O-])[O-].[Cs+].[Cs+].[Pd].c1ccc(P(c2ccccc2)c2ccc3ccccc3c2-c2c(P(c3ccccc3)c3ccccc3)ccc3ccccc23)cc1>COC(=O)c1cccc(N2CCC(NC(=O)OC(C)(C)C)CC2)c1
ord-81dfebc5c5a442faa29242be372b9cb1,CC(C)(C)OC(N)=O.Fc1ccnc(Cl)c1>C1COCCO1.CC1(C)c2cccc(P(c3ccccc3)c3ccccc3)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C([O-])[O-].[Cs+].[Cs+].[Pd].[Pd]>Nc1cc(F)ccn1
